index;Sexo;Comunidades y Ciudades Autónomas;Periodo;Edad;Total
257;Hombres;01 Andalucía;1995;De 15 a 29 años;951957.0
258;Hombres;01 Andalucía;1995;De 30 a 39 años;548362.0
259;Hombres;01 Andalucía;1995;De 40 a 44 años;212430.0
260;Hombres;01 Andalucía;1995;De 45 a 49 años;192019.0
261;Hombres;01 Andalucía;1995;De 50 a 54 años;175562.0
262;Hombres;01 Andalucía;1995;De 55 a 59 años;158565.0
263;Hombres;01 Andalucía;1995;De 60 a 64 años;171528.0
264;Hombres;01 Andalucía;1995;De 65 a 69 años;146860.0
265;Hombres;01 Andalucía;1995;De 70 a 74 años;112579.0
266;Hombres;01 Andalucía;1995;De 75 a 79 años;65760.0
267;Hombres;01 Andalucía;1995;De 80 a 84 años;39060.0
268;Hombres;01 Andalucía;1995;De 85 a 89 años;22951.0
269;Hombres;01 Andalucía;1995;De 90 a 94 años;0.0
270;Hombres;01 Andalucía;1995;Menos de 1 año;40777.0
271;Hombres;01 Andalucía;1995;Todas las edades;3521902.0
272;Hombres;01 Andalucía;1996;95 y más años;0.0
273;Hombres;01 Andalucía;1996;De 1 a 14 años;667777.0
274;Hombres;01 Andalucía;1996;De 15 a 29 años;947034.0
275;Hombres;01 Andalucía;1996;De 30 a 39 años;564510.0
276;Hombres;01 Andalucía;1996;De 40 a 44 años;219264.0
277;Hombres;01 Andalucía;1996;De 45 a 49 años;196034.0
278;Hombres;01 Andalucía;1996;De 50 a 54 años;182141.0
279;Hombres;01 Andalucía;1996;De 55 a 59 años;151418.0
280;Hombres;01 Andalucía;1996;De 60 a 64 años;171378.0
281;Hombres;01 Andalucía;1996;De 65 a 69 años;150692.0
282;Hombres;01 Andalucía;1996;De 70 a 74 años;115299.0
283;Hombres;01 Andalucía;1996;De 75 a 79 años;70574.0
284;Hombres;01 Andalucía;1996;De 80 a 84 años;38770.0
285;Hombres;01 Andalucía;1996;De 85 a 89 años;23957.0
286;Hombres;01 Andalucía;1996;De 90 a 94 años;0.0
287;Hombres;01 Andalucía;1996;Menos de 1 año;39533.0
288;Hombres;01 Andalucía;1996;Todas las edades;3538382.0
289;Hombres;01 Andalucía;1997;95 y más años;0.0
290;Hombres;01 Andalucía;1997;De 1 a 14 años;651973.0
291;Hombres;01 Andalucía;1997;De 15 a 29 años;939986.0
292;Hombres;01 Andalucía;1997;De 30 a 39 años;576991.0
293;Hombres;01 Andalucía;1997;De 40 a 44 años;227636.0
294;Hombres;01 Andalucía;1997;De 45 a 49 años;200204.0
295;Hombres;01 Andalucía;1997;De 50 a 54 años;188645.0
296;Hombres;01 Andalucía;1997;De 55 a 59 años;150954.0
297;Hombres;01 Andalucía;1997;De 60 a 64 años;166747.0
298;Hombres;01 Andalucía;1997;De 65 a 69 años;155817.0
299;Hombres;01 Andalucía;1997;De 70 a 74 años;117309.0
300;Hombres;01 Andalucía;1997;De 75 a 79 años;75491.0
301;Hombres;01 Andalucía;1997;De 80 a 84 años;39350.0
302;Hombres;01 Andalucía;1997;De 85 a 89 años;24696.0
303;Hombres;01 Andalucía;1997;De 90 a 94 años;0.0
304;Hombres;01 Andalucía;1997;Menos de 1 año;40032.0
305;Hombres;01 Andalucía;1997;Todas las edades;3555833.0
306;Hombres;01 Andalucía;1998;95 y más años;0.0
307;Hombres;01 Andalucía;1998;De 1 a 14 años;638889.0
308;Hombres;01 Andalucía;1998;De 15 a 29 años;931730.0
309;Hombres;01 Andalucía;1998;De 30 a 39 años;586362.0
310;Hombres;01 Andalucía;1998;De 40 a 44 años;237299.0
311;Hombres;01 Andalucía;1998;De 45 a 49 años;201525.0
312;Hombres;01 Andalucía;1998;De 50 a 54 años;192056.0
313;Hombres;01 Andalucía;1998;De 55 a 59 años;160582.0
314;Hombres;01 Andalucía;1998;De 60 a 64 años;158116.0
315;Hombres;01 Andalucía;1998;De 65 a 69 años;159545.0
316;Hombres;01 Andalucía;1998;De 70 a 74 años;120387.0
317;Hombres;01 Andalucía;1998;De 75 a 79 años;79799.0
318;Hombres;01 Andalucía;1998;De 80 a 84 años;39802.0
319;Hombres;01 Andalucía;1998;De 85 a 89 años;25327.0
320;Hombres;01 Andalucía;1998;De 90 a 94 años;0.0
321;Hombres;01 Andalucía;1998;Menos de 1 año;39596.0
322;Hombres;01 Andalucía;1998;Todas las edades;3571010.0
323;Hombres;01 Andalucía;1999;95 y más años;0.0
324;Hombres;01 Andalucía;1999;De 1 a 14 años;626832.0
325;Hombres;01 Andalucía;1999;De 15 a 29 años;922345.0
326;Hombres;01 Andalucía;1999;De 30 a 39 años;595012.0
327;Hombres;01 Andalucía;1999;De 40 a 44 años;248297.0
328;Hombres;01 Andalucía;1999;De 45 a 49 años;204609.0
329;Hombres;01 Andalucía;1999;De 50 a 54 años;194401.0
330;Hombres;01 Andalucía;1999;De 55 a 59 años;169893.0
331;Hombres;01 Andalucía;1999;De 60 a 64 años;150906.0
332;Hombres;01 Andalucía;1999;De 65 a 69 años;159690.0
333;Hombres;01 Andalucía;1999;De 70 a 74 años;123863.0
334;Hombres;01 Andalucía;1999;De 75 a 79 años;84087.0
335;Hombres;01 Andalucía;1999;De 80 a 84 años;40502.0
336;Hombres;01 Andalucía;1999;De 85 a 89 años;25816.0
337;Hombres;01 Andalucía;1999;De 90 a 94 años;0.0
338;Hombres;01 Andalucía;1999;Menos de 1 año;40851.0
339;Hombres;01 Andalucía;1999;Todas las edades;3587108.0
340;Hombres;01 Andalucía;2000;95 y más años;0.0
341;Hombres;01 Andalucía;2000;De 1 a 14 años;618016.0
342;Hombres;01 Andalucía;2000;De 15 a 29 años;911091.0
343;Hombres;01 Andalucía;2000;De 30 a 39 años;601161.0
344;Hombres;01 Andalucía;2000;De 40 a 44 años;259180.0
345;Hombres;01 Andalucía;2000;De 45 a 49 años;213398.0
346;Hombres;01 Andalucía;2000;De 50 a 54 años;191053.0
347;Hombres;01 Andalucía;2000;De 55 a 59 años;172134.0
348;Hombres;01 Andalucía;2000;De 60 a 64 años;152999.0
349;Hombres;01 Andalucía;2000;De 65 a 69 años;160016.0
350;Hombres;01 Andalucía;2000;De 70 a 74 años;127936.0
351;Hombres;01 Andalucía;2000;De 75 a 79 años;87404.0
352;Hombres;01 Andalucía;2000;De 80 a 84 años;42868.0
353;Hombres;01 Andalucía;2000;De 85 a 89 años;26455.0
354;Hombres;01 Andalucía;2000;De 90 a 94 años;0.0
355;Hombres;01 Andalucía;2000;Menos de 1 año;41865.0
356;Hombres;01 Andalucía;2000;Todas las edades;3605582.0
357;Hombres;01 Andalucía;2001;95 y más años;1176.0
358;Hombres;01 Andalucía;2001;De 1 a 14 años;613767.0
359;Hombres;01 Andalucía;2001;De 15 a 29 años;904830.0
360;Hombres;01 Andalucía;2001;De 30 a 39 años;611397.0
361;Hombres;01 Andalucía;2001;De 40 a 44 años;268755.0
362;Hombres;01 Andalucía;2001;De 45 a 49 años;221225.0
363;Hombres;01 Andalucía;2001;De 50 a 54 años;195643.0
364;Hombres;01 Andalucía;2001;De 55 a 59 años;179524.0
365;Hombres;01 Andalucía;2001;De 60 a 64 años;147136.0
366;Hombres;01 Andalucía;2001;De 65 a 69 años;160531.0
367;Hombres;01 Andalucía;2001;De 70 a 74 años;132454.0
368;Hombres;01 Andalucía;2001;De 75 a 79 años;90502.0
369;Hombres;01 Andalucía;2001;De 80 a 84 años;46659.0
370;Hombres;01 Andalucía;2001;De 85 a 89 años;46607.0
371;Hombres;01 Andalucía;2001;De 90 a 94 años;6304.0
372;Hombres;01 Andalucía;2001;Menos de 1 año;42459.0
373;Hombres;01 Andalucía;2001;Todas las edades;3641925.0
374;Hombres;01 Andalucía;2002;95 y más años;1259.0
375;Hombres;01 Andalucía;2002;De 1 a 14 años;615287.0
376;Hombres;01 Andalucía;2002;De 15 a 29 años;899581.0
377;Hombres;01 Andalucía;2002;De 30 a 39 años;627158.0
378;Hombres;01 Andalucía;2002;De 40 a 44 años;276505.0
379;Hombres;01 Andalucía;2002;De 45 a 49 años;231377.0
380;Hombres;01 Andalucía;2002;De 50 a 54 años;201156.0
381;Hombres;01 Andalucía;2002;De 55 a 59 años;187110.0
382;Hombres;01 Andalucía;2002;De 60 a 64 años;147466.0
383;Hombres;01 Andalucía;2002;De 65 a 69 años;157308.0
384;Hombres;01 Andalucía;2002;De 70 a 74 años;137708.0
385;Hombres;01 Andalucía;2002;De 75 a 79 años;92763.0
386;Hombres;01 Andalucía;2002;De 80 a 84 años;50368.0
387;Hombres;01 Andalucía;2002;De 85 a 89 años;47783.0
388;Hombres;01 Andalucía;2002;De 90 a 94 años;6531.0
389;Hombres;01 Andalucía;2002;Menos de 1 año;42137.0
390;Hombres;01 Andalucía;2002;Todas las edades;3693714.0
391;Hombres;01 Andalucía;2003;95 y más años;1262.0
392;Hombres;01 Andalucía;2003;De 1 a 14 años;617070.0
393;Hombres;01 Andalucía;2003;De 15 a 29 años;893832.0
394;Hombres;01 Andalucía;2003;De 30 a 39 años;640399.0
395;Hombres;01 Andalucía;2003;De 40 a 44 años;285960.0
396;Hombres;01 Andalucía;2003;De 45 a 49 años;243045.0
397;Hombres;01 Andalucía;2003;De 50 a 54 años;203986.0
398;Hombres;01 Andalucía;2003;De 55 a 59 años;192061.0
399;Hombres;01 Andalucía;2003;De 60 a 64 años;157845.0
400;Hombres;01 Andalucía;2003;De 65 a 69 años;150419.0
401;Hombres;01 Andalucía;2003;De 70 a 74 años;141766.0
402;Hombres;01 Andalucía;2003;De 75 a 79 años;96088.0
403;Hombres;01 Andalucía;2003;De 80 a 84 años;53866.0
404;Hombres;01 Andalucía;2003;De 85 a 89 años;48619.0
405;Hombres;01 Andalucía;2003;De 90 a 94 años;6654.0
406;Hombres;01 Andalucía;2003;Menos de 1 año;44326.0
407;Hombres;01 Andalucía;2003;Todas las edades;3748929.0
408;Hombres;01 Andalucía;2004;95 y más años;1293.0
409;Hombres;01 Andalucía;2004;De 1 a 14 años;619923.0
410;Hombres;01 Andalucía;2004;De 15 a 29 años;895567.0
411;Hombres;01 Andalucía;2004;De 30 a 39 años;655869.0
412;Hombres;01 Andalucía;2004;De 40 a 44 años;300079.0
413;Hombres;01 Andalucía;2004;De 45 a 49 años;257056.0
414;Hombres;01 Andalucía;2004;De 50 a 54 años;208989.0
415;Hombres;01 Andalucía;2004;De 55 a 59 años;196186.0
416;Hombres;01 Andalucía;2004;De 60 a 64 años;168718.0
417;Hombres;01 Andalucía;2004;De 65 a 69 años;144603.0
418;Hombres;01 Andalucía;2004;De 70 a 74 años;142993.0
419;Hombres;01 Andalucía;2004;De 75 a 79 años;99773.0
420;Hombres;01 Andalucía;2004;De 80 a 84 años;57380.0
421;Hombres;01 Andalucía;2004;De 85 a 89 años;50470.0
422;Hombres;01 Andalucía;2004;De 90 a 94 años;6908.0
423;Hombres;01 Andalucía;2004;Menos de 1 año;46002.0
424;Hombres;01 Andalucía;2004;Todas las edades;3822474.0
425;Hombres;01 Andalucía;2005;95 y más años;1436.0
