Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2008,52
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2007,72
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2006,57
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2005,40
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2004,56
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2003,74
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2002,52
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2001,65
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2000,62
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1999,64
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1998,76
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1997,92
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1996,112
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1995,129
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1994,137
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1993,127
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1992,146
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1991,164
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1990,155
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1989,166
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1988,201
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1987,206
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1986,196
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1985,198
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1984,194
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1983,180
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1982,175
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1981,188
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,1980,223
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2023,78
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2022,114
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2021,112
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2020,100
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2019,108
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2018,89
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2017,101
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2016,103
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2015,124
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2014,109
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2013,122
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2012,143
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2011,194
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2010,184
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2009,200
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2008,222
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2007,225
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2006,248
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2005,267
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2004,314
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2003,338
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2002,380
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2001,360
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,2000,355
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1999,371
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1998,408
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1997,447
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1996,478
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1995,443
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1994,489
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1993,459
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1992,498
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1991,475
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1990,520
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1989,509
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1988,454
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1987,484
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1986,476
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1985,489
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1984,485
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1983,463
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1982,451
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1981,494
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 30 a 39 años,1980,481
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2023,173
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2022,176
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2021,201
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2020,190
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2019,130
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2018,161
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2017,221
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2016,179
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2015,174
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2014,187
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2013,234
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2012,289
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2011,314
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2010,333
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2009,370
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2008,373
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2007,410
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2006,403
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2005,428
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2004,388
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2003,453
